Message_Id,Message_Version,Field_Name,Parent_Field,Field_Units,Min_Field_Size,Max_Field_Size,Field_Range,Mandatory,Number_Of_Fields,Optional_Description,Message_Type,Customer,Direction,STEName
RD-BIIQ,1,DISTRICT_SCAC,HEADER,Alphabetic,1,4,,N,,,RUM,,,
RD-BIIQ,1,USER_ID,HEADER,Alphanumeric,0,7,,Y,,,RUM,,,
RD-BIIQ,1,DIVISION_NAME,HEADER,Alphabetic,0,24,,Y,,,RUM,,,
RD-BIIQ,1,CONTENT,RD-BIIQ,,,,,Y,,,RUM,,,
RD-BIIQ,1,REQUEST_ID,CONTENT,Alphanumeric,1,13,,N,,,RUM,,,
RD-BIIQ,1,PF_ADDRESSEE,CONTENT,Alphanumeric,1,255,,N,,,RUM,,,
RD-BIIQ,1,PF_ADDRESSEE_TYPE,CONTENT,Alphabetic,1,1,E|P|F|G,N,,,RUM,,,
RD-BIIQ,1,REQUESTING_EMPLOYEE,CONTENT,Alphanumeric,1,20,,Y,,,RUM,,,
RD-BIIQ,1,REQUESTING_EMPLOYEE_NOTE,CONTENT,Alphanumeric,1,100,,N,,,RUM,,,
RD-BIIQ,1,BULLETIN_ITEM_TYPE,CONTENT,Alphanumeric,1,100,,N,,,RUM,,,
RD-BIIQ,1,EFFECTIVE_DATE,CONTENT,Numeric,8,8,,N,,,RUM,,,
RD-BIIQ,1,EFFECTIVE_TIME,CONTENT,Numeric,4,4,,N,,,RUM,,,
RD-BIIQ,1,EFFECTIVE_TIME_ZONE,CONTENT,Alphabetic,1,1,E|C,N,,,RUM,,,
RD-BIIQ,1,BULLETIN_ITEM_NUMBER_VOID,CONTENT,Numeric,1,5,1|99999,N,,,RUM,,,
RD-BIIQ,1,BULLETIN_ID_VOID,CONTENT,Numeric,1,20,,N,,,RUM,,,
RD-BIIQ,1,FIELD_COUNT,CONTENT,Numeric,1,2,1|99,Y,,,RUM,,,
RD-BIIQ,1,FIELD_RECORD,CONTENT,,,,,N,FIELD_COUNT,,RUM,,,
RD-BIIQ,1,FIELD_NUMBER,FIELD_RECORD,Numeric,1,2,1|99,Y,,,RUM,,,
RD-BIIQ,1,FIELD_NAME,FIELD_RECORD,Alphanumeric,1,100,,Y,,,RUM,,,
RD-BIIQ,1,FIELD_CONTENT,FIELD_RECORD,Alphanumeric,1,999,,N,,,RUM,,,
RD-BIVQ,1,HEADER,RD-BIVQ,,,,,Y,,,RUM,,,
RD-BIVQ,1,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,RUM,,,
RD-BIVQ,1,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,RUM,,,
RD-BIVQ,1,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,RUM,,,
RD-BIVQ,1,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,RUM,,,
RD-BIVQ,1,MESSAGE_VERSION,HEADER,Numeric,1,3,1|999,Y,,,RUM,,,
RD-BIVQ,1,SOURCE_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-BIVQ,1,DESTINATION_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-BIVQ,1,DISTRICT_NAME,HEADER,Alphanumeric,0,25,,Y,,,RUM,,,
RD-BIVQ,1,DISTRICT_SCAC,HEADER,Alphabetic,1,4,,N,,,RUM,,,
RD-BIVQ,1,USER_ID,HEADER,Alphanumeric,0,7,,Y,,,RUM,,,
RD-BIVQ,1,DIVISION_NAME,HEADER,Alphabetic,0,24,,Y,,,RUM,,,
RD-BIVQ,1,CONTENT,RD-BIVQ,,,,,Y,,,RUM,,,
RD-BIVQ,1,REQUEST_ID,CONTENT,Alphanumeric,1,13,,N,,,RUM,,,
RD-BIVQ,1,PF_ADDRESSEE,CONTENT,Alphanumeric,1,255,,N,,,RUM,,,
RD-BIVQ,1,PF_ADDRESSEE_TYPE,CONTENT,Alphabetic,1,1,E|P|F|G,N,,,RUM,,,
RD-BIVQ,1,REQUESTING_EMPLOYEE,CONTENT,Alphanumeric,1,20,,Y,,,RUM,,,
RD-BIVQ,1,REQUESTING_EMPLOYEE_NOTE,CONTENT,Alphanumeric,1,100,,N,,,RUM,,,
RD-BIVQ,1,BULLETIN_ITEM_NUMBER,CONTENT,Numeric,1,5,1|99999,Y,,,RUM,,,
RD-BIVQ,1,BULLETIN_ID,CONTENT,Numeric,1,20,,N,,,RUM,,,
RD-BINQ,1,HEADER,RD-BINQ,,,,,Y,,,RUM,,,
RD-BINQ,1,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,RUM,,,
RD-BINQ,1,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,RUM,,,
RD-BINQ,1,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,RUM,,,
RD-BINQ,1,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,RUM,,,
RD-BINQ,1,MESSAGE_VERSION,HEADER,Numeric,1,3,1|999,Y,,,RUM,,,
RD-BINQ,1,SOURCE_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-BINQ,1,DESTINATION_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-BINQ,1,DISTRICT_NAME,HEADER,Alphanumeric,0,25,,Y,,,RUM,,,
RD-BINQ,1,DISTRICT_SCAC,HEADER,Alphabetic,1,4,,N,,,RUM,,,
RD-BINQ,1,USER_ID,HEADER,Alphanumeric,0,7,,Y,,,RUM,,,
RD-BINQ,1,DIVISION_NAME,HEADER,Alphabetic,0,24,,Y,,,RUM,,,
RD-BINQ,1,CONTENT,RD-BINQ,,,,,Y,,,RUM,,,
RD-BINQ,1,REQUEST_ID,CONTENT,Alphanumeric,1,13,,N,,,RUM,,,
RD-BINQ,1,PF_ADDRESSEE,CONTENT,Alphanumeric,1,255,,N,,,RUM,,,
RD-BINQ,1,PF_ADDRESSEE_TYPE,CONTENT,Alphabetic,1,1,E|P|F|G,N,,,RUM,,,
RD-BINQ,1,REQUESTING_EMPLOYEE,CONTENT,Alphanumeric,1,20,,Y,,,RUM,,,
RD-BINQ,1,BULLETIN_ITEM_NUMBER,CONTENT,Numeric,1,5,1|99999,Y,,,RUM,,,
RD-BINQ,1,BULLETIN_ID,CONTENT,Numeric,1,20,,N,,,RUM,,,
RD-RTIR,1,HEADER,RD-RTIR,,,,,Y,,,RUM,,,
RD-RTIR,1,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,RUM,,,
RD-RTIR,1,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,RUM,,,
RD-RTIR,1,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,RUM,,,
RD-RTIR,1,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,RUM,,,
RD-RTIR,1,MESSAGE_VERSION,HEADER,Numeric,1,3,1|999,Y,,,RUM,,,
RD-RTIR,1,SOURCE_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-RTIR,1,DESTINATION_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-RTIR,1,DISTRICT_NAME,HEADER,Alphanumeric,0,25,,Y,,,RUM,,,
RD-RTIR,1,DISTRICT_SCAC,HEADER,Alphabetic,1,4,,N,,,RUM,,,
RD-RTIR,1,USER_ID,HEADER,Alphanumeric,0,7,,Y,,,RUM,,,
RD-RTIR,1,DIVISION_NAME,HEADER,Alphabetic,0,24,,Y,,,RUM,,,
RD-RTIR,1,CONTENT,RD-RTIR,,,,,Y,,,RUM,,,
RD-RTIR,1,REQUEST_ID,CONTENT,Alphanumeric,1,13,,N,,,RUM,,,
RD-RTIR,1,PF_ADDRESSEE,CONTENT,Alphanumeric,1,255,,N,,,RUM,,,
RD-RTIR,1,PF_ADDRESSEE_TYPE,CONTENT,Alphabetic,1,1,E|P|F|G,N,,,RUM,,,
RD-RTIR,1,REQUESTING_EMPLOYEE,CONTENT,Alphanumeric,1,20,,Y,,,RUM,,,
RD-RTIR,1,ADDRESSEE_TYPE,CONTENT,Alphabetic,2,2,RW|OT|TE,Y,,,RUM,,,
RD-RTIR,1,SCAC,CONTENT,Alphabetic,1,4,,Y,,,RUM,,,
RD-RTIR,1,SYMBOL,CONTENT,Alphanumeric,1,10,,Y,,,RUM,,,
RD-RTIR,1,SECTION,CONTENT,Numeric,1,1,1|9,N,,,RUM,,,
RD-RTIR,1,ORIGIN_DATE,CONTENT,Numeric,8,8,,Y,,,RUM,,,
RD-RTIR,1,ENGINE_INITIAL,CONTENT,Alphabetic,1,4,,Y,,,RUM,,,
RD-RTIR,1,ENGINE_NUMBER,CONTENT,Numeric,1,10,0|9999999999,Y,,,RUM,,,
RD-RTIR,1,COUPLED_ENGINE_INITIAL,CONTENT,Alphabetic,1,4,,N,,,RUM,,,
RD-RTIR,1,COUPLED_ENGINE_NUMBER,CONTENT,Numeric,1,10,0|9999999999,N,,,RUM,,,
RD-RTIR,1,EMPLOYEE_FIRST,CONTENT,Alphabetic,1,20,,Y,,,RUM,,,
RD-RTIR,1,EMPLOYEE_MIDDLE,CONTENT,Alphabetic,1,1,,N,,,RUM,,,
RD-RTIR,1,EMPLOYEE_LAST,CONTENT,Alphanumeric,1,32,,Y,,,RUM,,,
RD-RTIR,1,ADDRESSEE_ID,CONTENT,Alphanumeric,1,19,,N,,,RUM,,,
RD-RTIR,1,AT_LOCATION,CONTENT,Alphanumeric,1,24,,Y,,,RUM,,,
RD-RTIR,1,SPAF_ACK,CONTENT,Alphabetic,1,1,Y|N,Y,,,RUM,,,
RD-RTIR,1,S1_HAVE_JOINT_OCCUPANTS,CONTENT,Alphabetic,1,1,Y|N,N,,,RUM,,,
RD-RTIR,1,S1_TRACK_AUTHORITY_TO_VOID,CONTENT,Numeric,1,6,1|999999,N,,,RUM,,,
RD-RTIR,1,S2_PRESENCE,CONTENT,Alphabetic,1,1,Y|N,Y,,,RUM,,,
RD-RTIR,1,S2_FROM_LOCATION,CONTENT,Alphanumeric,1,24,,N,,,RUM,,,
RD-RTIR,1,S2_FIRST_SWITCH,CONTENT,Alphabetic,1,1,Y|N,N,,,RUM,,,
RD-RTIR,1,S2_COUNT,CONTENT,Numeric,1,1,1|3,N,,,RUM,,,
RD-RTIR,1,S2_RECORD,CONTENT,,,,,N,S2_COUNT,,RUM,,,
RD-RTIR,1,S2_SEQUENCE,S2_RECORD,Numeric,1,1,1|3,Y,,,RUM,,,
RD-RTIR,1,S2_TO_LOCATION,S2_RECORD,Alphanumeric,1,24,,Y,,,RUM,,,
RD-RTIR,1,S2_TRACK,S2_RECORD,Alphanumeric,1,32,,Y,,,RUM,,,
RD-RTIR,1,S3_PRESENCE,CONTENT,Alphabetic,1,1,Y|N,Y,,,RUM,,,
RD-RTIR,1,S3_BETWEEN,CONTENT,Alphanumeric,1,24,,N,,,RUM,,,
RD-RTIR,1,S3_BETWEEN_CP,CONTENT,Alphabetic,1,1,Y|N,N,,,RUM,,,
RD-RTIR,1,S3_AND,CONTENT,Alphanumeric,1,24,,N,,,RUM,,,
RD-RTIR,1,S3_AND_CP,CONTENT,Alphabetic,1,1,Y|N,N,,,RUM,,,
RD-RTIR,1,S3_TRACK_COUNT,CONTENT,Numeric,1,1,0|5,N,,,RUM,,,
RD-RTIR,1,S3_TRACK_RECORD,CONTENT,,,,,N,S3_TRACK_COUNT,,RUM,,,
RD-RTIR,1,S3_TRACK_SEQUENCE,S3_TRACK_RECORD,Numeric,1,1,1|5,Y,,,RUM,,,
RD-RTIR,1,S3_TRACK_TEXT,S3_TRACK_RECORD,Alphanumeric,1,32,,Y,,,RUM,,,
RD-RTIR,1,S3_SUBDIVIDE_FROM,CONTENT,Alphanumeric,1,24,,N,,,RUM,,,
RD-RTIR,1,S3_SUBDIVIDE_TO,CONTENT,Alphanumeric,1,24,,N,,,RUM,,,
RD-RTIR,1,S3_BETWEEN_ZONE_COUNT,CONTENT,Numeric,1,1,0|8,N,,,RUM,,,
RD-RTIR,1,S3_BETWEEN_ZONE_RECORD,CONTENT,,,,,N,S3_BETWEEN_ZONE_COUNT,,RUM,,,
RD-RTIR,1,S3_BETWEEN_ZONE,S3_BETWEEN_ZONE_RECORD,Alphanumeric,1,35,,Y,,,RUM,,,
RD-RTIR,1,S3_AND_ZONE_COUNT,CONTENT,Numeric,1,1,0|8,N,,,RUM,,,
RD-RTIR,1,S3_AND_ZONE_RECORD,CONTENT,,,,,N,S3_AND_ZONE_COUNT,,RUM,,,
RD-RTIR,1,S3_AND_ZONE,S3_AND_ZONE_RECORD,Alphanumeric,1,35,,Y,,,RUM,,,
RD-RTIR,1,S4_PRESENCE,CONTENT,Alphabetic,1,1,Y|N,Y,,,RUM,,,
RD-RTIR,1,S4_FROM_LOCATION,CONTENT,Alphanumeric,1,24,,N,,,RUM,,,
RD-RTIR,1,S4_FIRST_SWITCH,CONTENT,Alphabetic,1,1,Y|N,N,,,RUM,,,
RD-RTIR,1,S4_COUNT,CONTENT,Numeric,1,1,1|3,N,,,RUM,,,
RD-RTIR,1,S4_RECORD,CONTENT,,,,,N,S4_COUNT,,RUM,,,
RD-RTIR,1,S4_SEQUENCE,S4_RECORD,Numeric,1,1,1|3,Y,,,RUM,,,
RD-RTIR,1,S4_TO_LOCATION,S4_RECORD,Alphanumeric,1,24,,Y,,,RUM,,,
RD-RTIR,1,S4_TRACK,S4_RECORD,Alphanumeric,1,32,,Y,,,RUM,,,
RD-RTIR,1,S5_UNTIL,CONTENT,Alphanumeric,8,8,,N,,,RUM,,,
RD-RTIR,1,S7_HOLD_MAIN,CONTENT,Alphabetic,1,1,Y|N,Y,,,RUM,,,
RD-RTIR,1,S9_CLEAR_MAIN,CONTENT,Alphabetic,1,1,Y|N,Y,,,RUM,,,
RD-RTIR,1,RU_COMMENTS,CONTENT,Alphanumeric,1,256,,N,,,RUM,,,
RD-RTER,1,HEADER,RD-RTER,,,,,Y,,,RUM,,,
RD-RTER,1,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,RUM,,,
RD-RTER,1,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,RUM,,,
RD-RTER,1,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,RUM,,,
RD-RTER,1,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,RUM,,,
RD-RTER,1,MESSAGE_VERSION,HEADER,Numeric,1,3,1|999,Y,,,RUM,,,
RD-RTER,1,SOURCE_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-RTER,1,DESTINATION_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-RTER,1,DISTRICT_NAME,HEADER,Alphanumeric,0,25,,Y,,,RUM,,,
RD-RTER,1,DISTRICT_SCAC,HEADER,Alphabetic,1,4,,N,,,RUM,,,
RD-RTER,1,USER_ID,HEADER,Alphanumeric,0,7,,Y,,,RUM,,,
RD-RTER,1,DIVISION_NAME,HEADER,Alphabetic,0,24,,Y,,,RUM,,,
RD-RTER,1,CONTENT,RD-RTER,,,,,Y,,,RUM,,,
RD-RTER,1,REQUEST_ID,CONTENT,Alphanumeric,1,13,,N,,,RUM,,,
RD-RTER,1,PF_ADDRESSEE,CONTENT,Alphanumeric,1,255,,N,,,RUM,,,
RD-RTER,1,PF_ADDRESSEE_TYPE,CONTENT,Alphabetic,1,1,E|P|F|G,N,,,RUM,,,
RD-RTER,1,REQUESTING_EMPLOYEE,CONTENT,Alphanumeric,1,20,,Y,,,RUM,,,
RD-RTER,1,TRACK_AUTHORITY_NUMBER,CONTENT,Numeric,1,6,1|999999,Y,,,RUM,,,
RD-RTER,1,TRACK_AUTHORITY_ID,CONTENT,Numeric,1,20,1|99999999999999999999,N,,,RUM,,,
RD-RTER,1,EMPLOYEE_FIRST,CONTENT,Alphabetic,1,20,,Y,,,RUM,,,
RD-RTER,1,EMPLOYEE_MIDDLE,CONTENT,Alphabetic,1,1,,N,,,RUM,,,
RD-RTER,1,EMPLOYEE_LAST,CONTENT,Alphanumeric,1,32,,Y,,,RUM,,,
RD-RTER,1,REQ_TIME_EXTENSION,CONTENT,Alphanumeric,8,8,,N,,,RUM,,,
RD-RTER,1,RU_COMMENTS,CONTENT,Alphanumeric,1,256,,N,,,RUM,,,
RD-RTRR,1,HEADER,RD-RTRR,,,,,Y,,,RUM,,,
RD-RTRR,1,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,RUM,,,
RD-RTRR,1,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,RUM,,,
RD-RTRR,1,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,RUM,,,
RD-RTRR,1,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,RUM,,,
RD-RTRR,1,MESSAGE_VERSION,HEADER,Numeric,1,3,1|999,Y,,,RUM,,,
RD-RTRR,1,SOURCE_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-RTRR,1,DESTINATION_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-RTRR,1,DISTRICT_NAME,HEADER,Alphanumeric,0,25,,Y,,,RUM,,,
RD-RTRR,1,DISTRICT_SCAC,HEADER,Alphabetic,1,4,,N,,,RUM,,,
RD-RTRR,1,USER_ID,HEADER,Alphanumeric,0,7,,Y,,,RUM,,,
RD-RTRR,1,DIVISION_NAME,HEADER,Alphabetic,0,24,,Y,,,RUM,,,
RD-RTRR,1,CONTENT,RD-RTRR,,,,,Y,,,RUM,,,
RD-RTRR,1,REQUEST_ID,CONTENT,Alphanumeric,1,13,,N,,,RUM,,,
RD-RTRR,1,PF_ADDRESSEE,CONTENT,Alphanumeric,1,255,,N,,,RUM,,,
RD-RTRR,1,PF_ADDRESSEE_TYPE,CONTENT,Alphabetic,1,1,E|P|F|G,N,,,RUM,,,
RD-RTRR,1,REQUESTING_EMPLOYEE,CONTENT,Alphanumeric,1,20,,Y,,,RUM,,,
RD-RTRR,1,TRACK_AUTHORITY_NUMBER,CONTENT,Numeric,1,6,1|999999,Y,,,RUM,,,
RD-RTRR,1,TRACK_AUTHORITY_ID,CONTENT,Numeric,1,20,1|99999999999999999999,N,,,RUM,,,
RD-RTRR,1,ROLLUP_LOCATION,CONTENT,Alphanumeric,1,24,,Y,,,RUM,,,
RD-RTRR,1,EMPLOYEE_FIRST,CONTENT,Alphabetic,1,20,,Y,,,RUM,,,
RD-RTRR,1,EMPLOYEE_MIDDLE,CONTENT,Alphabetic,1,1,,N,,,RUM,,,
RD-RTRR,1,EMPLOYEE_LAST,CONTENT,Alphanumeric,1,32,,Y,,,RUM,,,
RD-RTRR,1,SPAF_ACK,CONTENT,Alphabetic,1,1,Y|N,N,,,RUM,,,
RD-RTRR,1,RU_COMMENTS,CONTENT,Alphanumeric,1,256,,N,,,RUM,,,
RD-RTVR,1,HEADER,RD-RTVR,,,,,Y,,,RUM,,,
RD-RTVR,1,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,RUM,,,
RD-RTVR,1,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,RUM,,,
RD-RTVR,1,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,RUM,,,
RD-RTVR,1,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,RUM,,,
RD-RTVR,1,MESSAGE_VERSION,HEADER,Numeric,1,3,1|999,Y,,,RUM,,,
RD-RTVR,1,SOURCE_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-RTVR,1,DESTINATION_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-RTVR,1,DISTRICT_NAME,HEADER,Alphanumeric,0,25,,Y,,,RUM,,,
RD-RTVR,1,DISTRICT_SCAC,HEADER,Alphabetic,1,4,,N,,,RUM,,,
RD-RTVR,1,USER_ID,HEADER,Alphanumeric,0,7,,Y,,,RUM,,,
RD-RTVR,1,DIVISION_NAME,HEADER,Alphabetic,0,24,,Y,,,RUM,,,
RD-RTVR,1,CONTENT,RD-RTVR,,,,,Y,,,RUM,,,
RD-RTVR,1,REQUEST_ID,CONTENT,Alphanumeric,1,13,,N,,,RUM,,,
RD-RTVR,1,PF_ADDRESSEE,CONTENT,Alphanumeric,1,255,,N,,,RUM,,,
RD-RTVR,1,PF_ADDRESSEE_TYPE,CONTENT,Alphabetic,1,1,E|P|F|G,N,,,RUM,,,
RD-RTVR,1,REQUESTING_EMPLOYEE,CONTENT,Alphanumeric,1,20,,Y,,,RUM,,,
RD-RTVR,1,TRACK_AUTHORITY_NUMBER,CONTENT,Numeric,1,6,1|999999,Y,,,RUM,,,
RD-RTVR,1,ROLLUP_LOCATION,CONTENT,Alphanumeric,1,24,,Y,,,RUM,,,
RD-RTVR,1,EMPLOYEE_FIRST,CONTENT,Alphabetic,1,20,,Y,,,RUM,,,
RD-RTVR,1,EMPLOYEE_MIDDLE,CONTENT,Alphabetic,1,1,,N,,,RUM,,,
RD-RTVR,1,EMPLOYEE_LAST,CONTENT,Alphanumeric,1,32,,Y,,,RUM,,,
RD-RTVR,1,SPAF_ACK,CONTENT,Alphabetic,1,1,Y|N,N,,,RUM,,,
RD-RTVR,1,HAVE_JOINT_OCCUPANTS,CONTENT,Alphabetic,1,1,Y|N,N,,,RUM,,,
RD-RTVR,1,RU_COMMENTS,CONTENT,Alphanumeric,1,256,,N,,,RUM,,,
RD-CATA,1,HEADER,RD-CATA,,,,,Y,,,RUM,,,
RD-CATA,1,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,RUM,,,
RD-CATA,1,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,RUM,,,
RD-CATA,1,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,RUM,,,
RD-CATA,1,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,RUM,,,
RD-CATA,1,MESSAGE_VERSION,HEADER,Numeric,1,3,1|999,Y,,,RUM,,,
RD-CATA,1,SOURCE_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-CATA,1,DESTINATION_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-CATA,1,DISTRICT_NAME,HEADER,Alphanumeric,0,25,,Y,,,RUM,,,
RD-CATA,1,DISTRICT_SCAC,HEADER,Alphabetic,1,4,,N,,,RUM,,,
RD-CATA,1,USER_ID,HEADER,Alphanumeric,0,7,,Y,,,RUM,,,
RD-CATA,1,DIVISION_NAME,HEADER,Alphabetic,0,24,,Y,,,RUM,,,
RD-CATA,1,CONTENT,RD-CATA,,,,,Y,,,RUM,,,
RD-CATA,1,TRACK_AUTHORITY_NUMBER,CONTENT,Numeric,1,6,1|999999,Y,,,RUM,,,
RD-CATA,1,TRACK_AUTHORITY_ID,CONTENT,Numeric,1,20,1|99999999999999999999,N,,,RUM,,,
RD-CATA,1,ACTION,CONTENT,Numeric,1,1,0|7,Y,,,RUM,,,
RD-CATA,1,EMPLOYEE_FIRST,CONTENT,Alphabetic,1,20,,Y,,,RUM,,,
RD-CATA,1,EMPLOYEE_MIDDLE,CONTENT,Alphabetic,1,1,,N,,,RUM,,,
RD-CATA,1,EMPLOYEE_LAST,CONTENT,Alphanumeric,1,32,,Y,,,RUM,,,
RD-PTUQ,1,HEADER,RD-PTUQ,,,,,Y,,,RUM,,,
RD-PTUQ,1,EVENT_DATE,HEADER,Numeric,8,8,,Y,,,RUM,,,
RD-PTUQ,1,EVENT_TIME,HEADER,Numeric,6,6,,Y,,,RUM,,,
RD-PTUQ,1,MESSAGE_ID,HEADER,Alphanumeric,1,7,,Y,,,RUM,,,
RD-PTUQ,1,SEQUENCE_NUMBER,HEADER,Numeric,1,13,1|9999999999999,Y,,,RUM,,,
RD-PTUQ,1,MESSAGE_VERSION,HEADER,Numeric,1,3,1|999,Y,,,RUM,,,
RD-PTUQ,1,SOURCE_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-PTUQ,1,DESTINATION_SYS,HEADER,Alphabetic,2,3,CAD|GD|CI|RU,Y,,,RUM,,,
RD-PTUQ,1,DISTRICT_NAME,HEADER,Alphanumeric,0,25,,Y,,,RUM,,,
RD-PTUQ,1,DISTRICT_SCAC,HEADER,Alphabetic,1,4,,N,,,RUM,,,
RD-PTUQ,1,USER_ID,HEADER,Alphanumeric,0,7,,Y,,,RUM,,,
RD-PTUQ,1,DIVISION_NAME,HEADER,Alphabetic,0,24,,Y,,,RUM,,,
RD-PTUQ,1,CONTENT,RD-PTUQ,,,,,Y,,,RUM,,,
RD-PTUQ,1,REQUEST_ID,CONTENT,Alphanumeric,1,13,,N,,,RUM,,,
